"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"5","6","4","7bieo566","1000","hl256-128-64_bs64_lr0.001_optadam"
"5","7","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"5","8","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"5","9","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"6","0","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"6","1","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"6","2","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"6","3","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"6","4","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"6","5","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"6","6","4","7bieo566","1000","hl256-128-64_bs64_lr0.001_optadam"
"6","7","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"6","8","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"6","9","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"7","0","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"7","1","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"7","2","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"7","3","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"7","4","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"7","5","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"7","6","4","7bieo566","1000","hl256-128-64_bs64_lr0.001_optadam"
"7","7","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"7","8","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"7","9","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"8","0","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"8","1","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"8","2","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"8","3","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"8","4","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"8","5","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"8","6","4","7bieo566","1000","hl256-128-64_bs64_lr0.001_optadam"
"8","7","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"8","8","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"8","9","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"9","0","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"9","1","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"9","2","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"9","3","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"9","4","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"9","5","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
"9","6","4","7bieo566","1000","hl256-128-64_bs64_lr0.001_optadam"
"9","7","4","7bieo566","0","hl256-128-64_bs64_lr0.001_optadam"
