"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"5","7","4","pez1bmxb","68","hl128-64_bs64_lr0.001_optadam"
"5","8","4","pez1bmxb","3","hl128-64_bs64_lr0.001_optadam"
"5","9","4","pez1bmxb","61","hl128-64_bs64_lr0.001_optadam"
"6","0","4","pez1bmxb","162","hl128-64_bs64_lr0.001_optadam"
"6","1","4","pez1bmxb","3","hl128-64_bs64_lr0.001_optadam"
"6","2","4","pez1bmxb","80","hl128-64_bs64_lr0.001_optadam"
"6","3","4","pez1bmxb","49","hl128-64_bs64_lr0.001_optadam"
"6","4","4","pez1bmxb","83","hl128-64_bs64_lr0.001_optadam"
"6","5","4","pez1bmxb","2","hl128-64_bs64_lr0.001_optadam"
"6","6","4","pez1bmxb","589","hl128-64_bs64_lr0.001_optadam"
"6","7","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"6","8","4","pez1bmxb","32","hl128-64_bs64_lr0.001_optadam"
"6","9","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"7","0","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"7","1","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"7","2","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"7","3","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"7","4","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"7","5","4","pez1bmxb","27","hl128-64_bs64_lr0.001_optadam"
"7","6","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"7","7","4","pez1bmxb","908","hl128-64_bs64_lr0.001_optadam"
"7","8","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"7","9","4","pez1bmxb","65","hl128-64_bs64_lr0.001_optadam"
"8","0","4","pez1bmxb","2","hl128-64_bs64_lr0.001_optadam"
"8","1","4","pez1bmxb","1","hl128-64_bs64_lr0.001_optadam"
"8","2","4","pez1bmxb","15","hl128-64_bs64_lr0.001_optadam"
