"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"3","6","3","5iu42z45","43","hl256-256-128-64_bs64_lr0.001_optadam"
"3","7","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"3","8","3","5iu42z45","6","hl256-256-128-64_bs64_lr0.001_optadam"
"3","9","3","5iu42z45","1","hl256-256-128-64_bs64_lr0.001_optadam"
"4","0","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"4","1","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"4","2","3","5iu42z45","88","hl256-256-128-64_bs64_lr0.001_optadam"
"4","3","3","5iu42z45","53","hl256-256-128-64_bs64_lr0.001_optadam"
"4","4","3","5iu42z45","639","hl256-256-128-64_bs64_lr0.001_optadam"
"4","5","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"4","6","3","5iu42z45","214","hl256-256-128-64_bs64_lr0.001_optadam"
"4","7","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"4","8","3","5iu42z45","6","hl256-256-128-64_bs64_lr0.001_optadam"
"4","9","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"5","0","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"5","1","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"5","2","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"5","3","3","5iu42z45","2","hl256-256-128-64_bs64_lr0.001_optadam"
"5","4","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"5","5","3","5iu42z45","887","hl256-256-128-64_bs64_lr0.001_optadam"
"5","6","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"5","7","3","5iu42z45","38","hl256-256-128-64_bs64_lr0.001_optadam"
"5","8","3","5iu42z45","12","hl256-256-128-64_bs64_lr0.001_optadam"
"5","9","3","5iu42z45","61","hl256-256-128-64_bs64_lr0.001_optadam"
"6","0","3","5iu42z45","163","hl256-256-128-64_bs64_lr0.001_optadam"
"6","1","3","5iu42z45","1","hl256-256-128-64_bs64_lr0.001_optadam"
"6","2","3","5iu42z45","86","hl256-256-128-64_bs64_lr0.001_optadam"
"6","3","3","5iu42z45","49","hl256-256-128-64_bs64_lr0.001_optadam"
"6","4","3","5iu42z45","43","hl256-256-128-64_bs64_lr0.001_optadam"
"6","5","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"6","6","3","5iu42z45","627","hl256-256-128-64_bs64_lr0.001_optadam"
"6","7","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"6","8","3","5iu42z45","31","hl256-256-128-64_bs64_lr0.001_optadam"
"6","9","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"7","0","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"7","1","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"7","2","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"7","3","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"7","4","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"7","5","3","5iu42z45","40","hl256-256-128-64_bs64_lr0.001_optadam"
"7","6","3","5iu42z45","0","hl256-256-128-64_bs64_lr0.001_optadam"
"7","7","3","5iu42z45","836","hl256-256-128-64_bs64_lr0.001_optadam"
"7","8","3","5iu42z45","4","hl256-256-128-64_bs64_lr0.001_optadam"
"7","9","3","5iu42z45","120","hl256-256-128-64_bs64_lr0.001_optadam"
